zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Understory shrubs include common manzanita (Arctostaphylos manzanita ssp. manzanita), toyon
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:were observed within the Study Area: narrow-anthered brodiaea (Brodiaea leptandra; CRPR 1B),
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:redwood lily (Lilium rubescens; CRPR 4), Cobb Moutain lupine (Lupinus sericatus; CRPR 1B), green
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:monardella (Monardella viridis; CRPR 4), and dark-mouthed triteleia (Triteleia lugens; CRPR 4,
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Narrow-anthered brodiaea (Brodiaea leptandra) CRPR 1B. High Potential (Present).
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Redwood lily (Lilium rubescens). CRPR 4. High Potential (Present). Redwood lily is a
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Cobb Mountain lupine (Lupinus sericatus). CRPR 1B. High Potential (Present). Cobb
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Green Monardella (Monardella viridis). CRPR 4. Moderate Potential (Present). Green
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Dark-mouthed Triteleia (Triteleia lugens). CRPR 4. Moderate Potential (Present). Darkmouthed Triteleia is a perennial bulbiferous forb in the brodiaea family (Themidaceae) that
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Franciscan onion (Allium peninsulare var. franciscanum); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Napa false indigo (Amorpha californica var. napensis); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Konocti manzanita (Arctostaphylos manzanita ssp. elegans); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Rincon manzanita (Arctostaphylos stanfordiana ssp. decumbens); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Small-flowered calycadenia (Calycadenia micrantha); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Calistoga ceanothus (Ceanothus divergens); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Point Reyes ceanothus (Ceanothus gloriosus var. exaltatus); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Holly-leaved ceanothus (Ceanothus purpureus); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Sonoma ceanothus (Ceanothus sonomensis); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Mountain lady’s-slipper (Cypripedium montanum); CRPR 4
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Streamside daisy (Erigeron biolettii); CRPR 3
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Green’s narrow-leaved daisy (Erigeron greenei); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:St. Helena fawn lily (Erythronium helenae); CRPR 4
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Nodding harmonia (Harmonia nutans); CRPR 4
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Jepson’s leptosiphon (Leptosiphon jepsonii); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Broad-lobed leptosiphon (Leptosiphon latisectus); CRPR 4
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Napa lomatium (Lomatium repostum); CRPR 4
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Mt. Diablo cottonweed (Micropus amphibolus); CRPR 3
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Napa checkerbloom (Sidalcea hickmanii ssp. napensis); CRPR 1B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Oval-leaved viburnum (Viburnum ellipticum); CRPR 2B
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Dark-mouthed triteleia (Triteleia lugens) is known from 24 Calfora records in Napa County, and
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Similarly, Cobb Mountain lupine (Lupinus sericatus) is known from 23 CNDDB records in Napa
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Chlorogalum pomeridianum var.
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Microseris douglasii
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Nemophila parviflora
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Arctostaphylos manzanita ssp.
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Arctostaphylos stanfordiana ssp.
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Lupinus sericatus
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Pickeringia montana var. montana
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Monardella villosa ssp. franciscana
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Monardella viridis
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Lilium rubescens
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Claytonia parviflora
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Ceanothus foliosus var. foliosus
